Column1;Category;Name_Category;Name_SubCategory;slug;ecv;User;Usage;Use_Total;Unité;Emoji;Category_ML;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
0;1;Numérique;Smartphone;smartphone;85,85;2;0;172; ;💻;Numérique;
1;1;Numérique;Ordinateur fixe;ordinateurfixeparticulier;299,3;1;0;299; ;💻;Numérique;
2;1;Numérique;Écran d'ordinateur;ecran;91,4;1;0;91; ;💻;Numérique;
3;1;Numérique;Tablette;tabletteclassique;61,9;1;0;62; ;💻;Numérique;
4;1;Numérique;Télévision ;television;472,4;1;0;472; ;💻;Numérique;
5;1;Numérique;Ordinateur portable;ordinateurportable;193;1;0;193; ;💻;Numérique;
6;1;Numérique;Enceinte connectée;enceintebluetooth;26,5;1;0;27; ;💻;Numérique;
7;1;Numérique;Casque de réalité virtuelle;casquevr;72,3;1;0;72; ;💻;Numérique;
8;1;Numérique;Disque dur externe;disquedur;11,9;1;0;12; ;💻;Numérique;
9;1;Numérique;Clef usb;clefusb;2,9;1;0;3; ;💻;Numérique;
10;1;Numérique;Box;box;82;1;0;82; ;💻;Numérique;
41;4;Transport;Voiture électrique;voitureelectrique;0,1034;3650;0;377;Km;🚗;Transport;Certains de vos déplacements pourraient-ils être faits de manière plus écologique, comme à pied ou à vélo ?
42;4;Transport;Voiture / moto thermique;voiturethermique;0,2176;1825;0;397;Km;🚗;Transport;Certains de vos déplacements pourraient-ils être faits de manière plus écologique, comme à pied ou à vélo ?
43;4;Transport;Avion court courrier;avion-courtcourrier;0,2586;0;0;0;Km;🚗;Transport;Si vous utilisez ce moyen de transport pour vos vacances, envisagez des destinations agréables nécessitant un mode de transport écologique, même si cela signifie voyager moins loin
44;4;Transport;Avion moyen courrier;avion-moyencourrier;0,1876;0;0;0;Km;🚗;Transport;Si vous utilisez ce moyen de transport pour vos vacances, envisagez des destinations agréables nécessitant un mode de transport écologique, même si cela signifie voyager moins loin
45;4;Transport;Avion long courrier;avion-longcourrier;0,152;0;0;0;Km;🚗;Transport;Si vous utilisez ce moyen de transport pour vos vacances, envisagez des destinations agréables nécessitant un mode de transport écologique, même si cela signifie voyager moins loin
46;4;Transport;Train / TGV;tgv;0,0029;0;0;0;Km;🚗;Transport;
47;4;Transport;Intercités;intercites;0,009;0;0;0;Km;🚗;Transport;
48;4;Transport;Scooter ou moto légère thermique;scooter;0,0763;0;0;0;Km;🚗;Transport;Certains de vos déplacements pourraient-ils être faits de manière plus écologique, comme à pied ou à vélo ?
49;4;Transport;RER ou Transilien;rer;0,0098;0;0;0;Km;🚗;Transport;
50;4;Transport;Autocar thermique;autocar;0,0294;0;0;0;Km;🚗;Transport;
51;4;Transport;Vélo mécanique;velo;0,0002;0;0;0;Km;🚗;Transport;
52;4;Transport;Vélo à assistance électrique;veloelectrique;0,011;0;0;0;Km;🚗;Transport;
53;4;Transport;Bus thermique;busthermique;0,1132;0;0;0;Km;🚗;Transport;Certains de vos déplacements pourraient-ils être faits de manière plus écologique, comme à pied ou à vélo ?
54;4;Transport;Tramway;tramway;0,0043;0;0;0;Km;🚗;Transport;
55;4;Transport;Métro;metro;0,0044;0;0;0;Km;🚗;Transport;
56;4;Transport;Trottinette à assistance électrique;trottinette;0,0249;0;0;0;Km;🚗;Transport;
57;4;Transport;Bus (GNV);busgnv;0,1217;1825;0;222;Km;🚗;Transport;
58;4;Transport;TER;ter;0,0277;0;0;0;Km;🚗;Transport;
59;4;Transport;Bus électrique;buselectrique;0,0217;0;0;0;Km;🚗;Transport;
60;5;Habillement;T-shirt;tshirt;6,4338;3;0;19; ;👕;Habillement;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
61;5;Habillement;Sweat en coton;sweatencoton;32,4928;1;0;32; ;👕;Habillement;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
62;5;Habillement;Jeans;jeans;25,0887;2;0;50; ;👕;Habillement;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
63;5;Habillement;Polo;polo;10,1635;1;0;10; ;👕;Habillement;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
64;5;Habillement;Pull en acrylique;pullenacrylique;28,9684;0;0;0; ;👕;Habillement;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
65;5;Habillement;Pull en laine;pullenlaine;56,6955;2;0;113; ;👕;Habillement;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
66;5;Habillement;Robe;robe;55;1;0;55; ;👕;Habillement;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
67;5;Habillement;Paire de chaussures de sport;chaussuresdesport;20,1256;2;0;40; ;👕;Habillement;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
68;5;Habillement;Veste simili-cuir;vestesimilicuir;26,8258;0;0;0; ;👕;Habillement;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
69;5;Habillement;Veste imperméable;vesteimpermeable;41,1472;0;0;0; ;👕;Habillement;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
70;5;Habillement;Manteau;manteau;101,4205;4;0;406; ;👕;Habillement;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
71;5;Habillement;Pull en coton recyclé;pullencotonrecycle;13,1928;0;0;0; ;👕;Habillement;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
72;5;Habillement;Paire de chaussures;chaussures;16;1;0;16; ;👕;Habillement;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
