,Category,Name_Category,Name_SubCategory,slug,ecv
0,1,Numérique,Smartphone,smartphone,85.85
1,1,Numérique,Ordinateur fixe sans écran (particulier),ordinateurfixeparticulier,299.3
2,1,Numérique,Ordinateur fixe sans écran (professionnel),ordinateurfixeprofessionnel,258.1
3,1,Numérique,Écran d'ordinateur,ecran,91.4
4,1,Numérique,Tablette,tabletteclassique,61.89999999999999
5,1,Numérique,Télévision ,television,472.40000000000003
6,1,Numérique,Ordinateur portable,ordinateurportable,193.00000000000003
7,1,Numérique,Enceinte connectée,enceintebluetooth,26.5
8,1,Numérique,Téléphone basique,telephonebasique,23.400000000000002
9,1,Numérique,Casque de réalité virtuelle,casquevr,72.30000000000001
10,1,Numérique,Alimentation externe pour ordinateur portable,alimentationordinateur,4.1
11,1,Numérique,Alimentation externe pour smartphone ou tablette,alimentationsmartphone,0.4
12,1,Numérique,Disque dur externe,disquedur,11.9
13,1,Numérique,Clef usb,clefusb,2.9
14,1,Numérique,Box,box,82.0
15,2,Alimentation,Boeuf,boeuf,28.009169999999997
16,2,Alimentation,Veau,veau,22.50465333333333
17,2,Alimentation,Porc,porc,6.671304949999999
18,2,Alimentation,Canard,canard,8.0609
19,2,Alimentation,Lapin,lapin,5.782900000000001
20,2,Alimentation,Poulet,poulet,4.56043
21,2,Alimentation,Crevettes,crevettes,20.345228
22,2,Alimentation,Moules,moules,5.328231000000001
23,2,Alimentation,Huitres,huitres,5.328231000000001
24,2,Alimentation,Cabillaud (cru),cabillaud,12.0864877
25,2,Alimentation,Lieu jaune ou colin (cru),lieu,12.0864877
26,2,Alimentation,Dorade royale,dorade,11.1914877
27,2,Alimentation,Saumon ou truite d'élevage (cru),saumon,5.55693
28,2,Alimentation,Thon (cru),thon,4.98343
29,2,Alimentation,Sardines,sardines,2.2764877
30,2,Alimentation,Beurre,beurre,7.91333
31,2,Alimentation,Fromage à pâte dure,fromagedure,6.27838
32,2,Alimentation,Fêta (brebis),feta,6.30563
33,2,Alimentation,Fromage à pâte molle,fromagemolle,5.144405000000001
34,2,Alimentation,Mozarella,mozarella,4.71463
35,2,Alimentation,Fromage bleu,fromagebleu,6.164963333333335
36,2,Alimentation,Oeufs,oeuf,1.8780103000000001
37,2,Alimentation,Matière grasse végétale,matieregrasse,2.58463
38,2,Alimentation,Yaourt nature ou yaourt à la grecque,yaourt,1.8947299999999998
39,2,Alimentation,Fromage blanc 0%,fromageblanc,1.8096299999999998
40,2,Alimentation,Riz,riz,2.01458575
41,2,Alimentation,Pâtes (sèches),pates,1.9795
42,2,Alimentation,Blé,ble,1.2262635
43,2,Alimentation,Boulgour,boulgour,0.9499000000000001
44,2,Alimentation,Pois chiches,poischiches,0.8985430000000001
45,2,Alimentation,Haricots rouges,haricotsrouges,0.858543
46,2,Alimentation,"Lentilles (blondes, vertes, corail)",lentilles,0.5815429999999999
47,2,Alimentation,Cheeseburger,cheeseburger,18.833399999999997
48,2,Alimentation,Kebab,kebab,12.806530000000002
49,2,Alimentation,Burger au poulet,burgerpoulet,4.3614
50,2,Alimentation,Pizza quatre fromages,pizza,3.5994
51,2,Alimentation,Sushis ou makis,sushis,2.6689999999999996
52,2,Alimentation,Burger végétarien,burgervegetarien,2.7075
53,2,Alimentation,Frites (friteuse),frites,1.4569999999999999
54,2,Alimentation,Tofu nature,tofu,1.0042999999999997
55,2,Alimentation,Rocher au chocolat,boucheechocolat,10.521899999999999
56,2,Alimentation,Pâte à tartiner à la noisette,pateatartiner,9.1169
57,2,Alimentation,Brownie au chocolat,brownie,8.3569
58,2,Alimentation,Pain au chocolat ou chocolatine,painauchocolat,5.7291
59,2,Alimentation,Cookie au pépites de chocolat,cookie,6.272900000000001
60,2,Alimentation,Madeleine,madeleine,2.2434
61,2,Alimentation,Pain aux raisins,painauxraisins,2.5641
62,2,Alimentation,Chausson aux pommes,chaussonauxpommes,2.0441000000000003
63,2,Alimentation,Croissant au beurre,croissant,2.9431000000000003
64,2,Alimentation,Pain de mie,paindemie,1.5591000000000002
65,2,Alimentation,Bonbons gélifiés,bonbons,1.4869
66,2,Alimentation,Baguette tradition,baguette,0.7767000000000001
67,2,Alimentation,Pomme de terre nouvelle,pommedeterre,0.7062605000000001
68,2,Alimentation,Repas avec du boeuf,repasavecduboeuf,7.26
69,2,Alimentation,Repas végétarien,repasvegetarien,0.51
70,2,Alimentation,Repas végétalien,repasvegetalien,0.39
71,2,Alimentation,Repas avec du poisson blanc,repasavecdupoissonblanc,1.98
72,2,Alimentation,Repas avec du poisson gras,repasavecdupoissongras,1.11
73,2,Alimentation,Repas avec du poulet,repasavecdupoulet,1.58
74,3,Boisson,Eau du robinet,eaudurobinet,0.000132
75,3,Boisson,Eau en bouteille,eauenbouteille,0.320735
