,name,slug,ecv
0,Smartphone,smartphone,85.85
1,Ordinateur fixe sans écran (particulier),ordinateurfixeparticulier,299.3
2,Ordinateur fixe sans écran (professionnel),ordinateurfixeprofessionnel,258.1
3,Écran d'ordinateur,ecran,91.4
4,Tablette,tabletteclassique,61.89999999999999
5,Télévision ,television,472.40000000000003
6,Ordinateur portable,ordinateurportable,193.00000000000003
7,Enceinte connectée,enceintebluetooth,26.5
8,Téléphone basique,telephonebasique,23.400000000000002
9,Casque de réalité virtuelle,casquevr,72.30000000000001
10,Alimentation externe pour ordinateur portable,alimentationordinateur,4.1
11,Alimentation externe pour smartphone ou tablette,alimentationsmartphone,0.4
12,Disque dur externe,disquedur,11.9
13,Clef usb,clefusb,2.9
14,Box,box,82.0
