,Category,Name_Category,Name_SubCategory,slug,ecv,User,Usage,Use_Total,Unité,Emoji,Category_ML
0,1,Numérique,Smartphone,smartphone,85.85,2,0,171.7, ,💻,Numérique
1,1,Numérique,Ordinateur fixe,ordinateurfixeparticulier,299.3,1,0,299.3, ,💻,Numérique
2,1,Numérique,Écran d'ordinateur,ecran,91.4,1,0,91.4, ,💻,Numérique
3,1,Numérique,Tablette,tabletteclassique,61.9,1,0,61.9, ,💻,Numérique
4,1,Numérique,Télévision ,television,472.4,1,0,472.4, ,💻,Numérique
5,1,Numérique,Ordinateur portable,ordinateurportable,193,1,0,193, ,💻,Numérique
6,1,Numérique,Enceinte connectée,enceintebluetooth,26.5,1,0,26.5, ,💻,Numérique
7,1,Numérique,Casque de réalité virtuelle,casquevr,72.3,1,0,72.3, ,💻,Numérique
8,1,Numérique,Disque dur externe,disquedur,11.9,1,0,11.9, ,💻,Numérique
9,1,Numérique,Clef usb,clefusb,2.9,1,0,2.9, ,💻,Numérique
10,1,Numérique,Box,box,82,1,0,82, ,💻,Numérique
11,2,Alimentation,"Eau du robinet, Thé",Boissons,0.0218595,52,0,1.136694,Kg,🥗,Boissons
12,2,Alimentation,Eau en Bouteille,Boissons,0.320735,364,0,116.74754,Kg,🥗,Boissons
13,2,Alimentation,"Boisson au Soja, Soda",Boissons,0.460265,52,0,23.93378,Kg,🥗,Boissons
14,2,Alimentation,Café,Boissons,0.635463,52,0,33.044076,Kg,🥗,Boissons
15,2,Alimentation,Lait de Vache,Boissons,1.1505,104,0,119.65200000000002,Kg,🥗,Boissons
16,2,Alimentation,"Vin, Bière",Boissons,1.30783,208,0,272.02864,Kg,🥗,Boissons
17,2,Alimentation,"Burger Poulet, Pain au chocolat",Plats Préparés & Encas,5.045249999999999,23.400000000000002,0,118.05884999999999,Kg,🥗,Plats Préparés & Encas
18,2,Alimentation,"Cookie, Brownie, Pâte à tartiner",Plats Préparés & Encas,7.915566666666666,23.400000000000002,0,185.22426,Kg,🥗,Plats Préparés & Encas
19,2,Alimentation,Sardines,Viandes & Poissons,2.2764877,7.8,0,17.75660406,Kg,🥗,Viandes & Poissons
20,2,Alimentation,"Dorade, Lieu, Cabillaud",Viandes & Poissons,11.788154366666664,7.8,0,91.94760405999997,Kg,🥗,Viandes & Poissons
21,2,Alimentation,"Canard, Porc",Viandes & Poissons,7.366102475,15.6,0,114.91119861,Kg,🥗,Viandes & Poissons
22,2,Alimentation,"Huitres, Moules, Saumon, Lapin",Viandes & Poissons,5.499073000000001,7.8,0,42.892769400000006,Kg,🥗,Viandes & Poissons
23,2,Alimentation,"Thon, Poulet",Viandes & Poissons,4.77193,62.4,0,297.768432,Kg,🥗,Viandes & Poissons
24,2,Alimentation,Blé,Céréales & Légumineuses,1.2262635,15.6,0,19.1297106,Kg,🥗,Céréales & Légumineuses
25,2,Alimentation,"Pates, Riz",Céréales & Légumineuses,1.997042875,78,0,155.76934425,Kg,🥗,Céréales & Légumineuses
26,2,Alimentation,"Baguette, Tofu, Frites, Bonbons",Plats Préparés & Encas,1.181225,70.2,0,82.921995,Kg,🥗,Plats Préparés & Encas
27,2,Alimentation,"Haricots rouges, Pois chiches, Boulgour",Céréales & Légumineuses,0.9023286666666668,15.6,0,14.076327200000001,Kg,🥗,Céréales & Légumineuses
